iter	Accuracy	Logloss
0	0.7705811138	0.646380215
1	0.7688861985	0.6100076625
2	0.7699757869	0.5814392832
3	0.7702179177	0.5585549107
4	0.7694915254	0.5406880643
5	0.7722760291	0.526727863
6	0.7738498789	0.5156334679
7	0.7799031477	0.5050063603
8	0.7802663438	0.4983663
9	0.7801452785	0.491726723
10	0.7811138015	0.4863769991
11	0.7803874092	0.4810954702
12	0.7811138015	0.4765549223
13	0.783535109	0.4731283621
14	0.7840193705	0.4698873115
15	0.7837772397	0.4673341626
16	0.7847457627	0.4651039044
17	0.7852300242	0.4627136252
18	0.7852300242	0.4609825748
19	0.7858353511	0.4594018616
20	0.7851089588	0.4573525659
21	0.7859564165	0.4557492122
22	0.7860774818	0.4542968103
23	0.7869249395	0.4532736663
24	0.7886198547	0.4514259693
25	0.7889830508	0.4503566187
26	0.79031477	0.4486731842
27	0.7901937046	0.4479031982
28	0.7914043584	0.4469320331
29	0.7920096852	0.4461614331
30	0.7921307506	0.4443722596
31	0.7917675545	0.4433923206
32	0.792251816	0.4421593914
33	0.7923728814	0.4410828594
34	0.792251816	0.4402528416
35	0.793220339	0.4385548705
36	0.7934624697	0.4375930193
37	0.7937046005	0.4366156612
38	0.7945520581	0.435725487
39	0.7946731235	0.4349976231
40	0.7946731235	0.4343452351
41	0.7946731235	0.433621649
42	0.7958837772	0.4323356667
43	0.7960048426	0.431454358
44	0.7966101695	0.4306066673
45	0.7966101695	0.4299928813
46	0.7969733656	0.4291715517
47	0.7973365617	0.4287010077
48	0.7978208232	0.4281906626
49	0.7978208232	0.4277309947
50	0.798062954	0.4271586425
51	0.7976997579	0.4267700925
52	0.798062954	0.4260606623
53	0.7979418886	0.4256863686
54	0.7978208232	0.4251823437
55	0.798062954	0.4245449479
56	0.7976997579	0.4238795723
57	0.7985472155	0.4231328769
58	0.7997578692	0.4227075302
59	0.8008474576	0.4219665032
60	0.8007263923	0.4212598439
61	0.8015738499	0.4206253794
62	0.8020581114	0.4202644316
63	0.8025423729	0.419885113
64	0.8025423729	0.4196310845
65	0.8031476998	0.4192211448
66	0.8032687651	0.4184078399
67	0.8036319613	0.4177700623
68	0.8036319613	0.4174098347
69	0.8049636804	0.4165891294
70	0.8052058111	0.4162019322
71	0.8053268765	0.4153613644
72	0.805811138	0.414918851
