iter	Passed	Remaining
0	4	4070
1	7	3728
2	10	3506
3	14	3488
4	17	3489
5	20	3402
6	23	3278
7	25	3204
8	28	3147
9	32	3170
10	35	3160
11	38	3141
12	41	3133
13	43	3094
14	46	3076
15	50	3097
16	53	3082
17	56	3091
18	59	3082
19	62	3041
20	64	3020
21	67	3011
22	70	2991
23	73	2985
24	76	2967
25	78	2950
26	82	2959
27	85	2978
28	89	2985
29	92	2998
30	96	3005
31	98	2991
32	102	2989
33	105	2985
34	108	2980
35	110	2967
36	113	2958
37	116	2950
38	119	2939
39	122	2940
40	125	2933
41	128	2929
42	131	2918
43	134	2911
44	136	2902
45	140	2905
46	143	2899
47	145	2890
48	148	2888
49	151	2879
50	154	2877
51	157	2872
52	160	2862
53	163	2862
54	166	2852
55	169	2849
56	171	2843
57	174	2841
58	178	2843
59	181	2841
60	184	2836
61	187	2830
62	190	2830
63	193	2832
64	196	2831
65	200	2830
66	203	2834
67	206	2827
68	209	2825
69	212	2818
70	214	2809
71	217	2808
72	221	2809
73	224	2808
74	227	2805
75	231	2809
76	233	2802
77	237	2802
78	239	2796
79	243	2795
80	246	2797
81	250	2801
82	253	2804
83	257	2807
84	260	2804
85	263	2804
86	267	2804
87	271	2808
88	274	2810
89	277	2809
90	280	2806
91	284	2804
92	287	2804
93	291	2810
94	294	2806
95	298	2807
96	301	2802
97	304	2805
98	308	2808
99	311	2807
100	315	2808
101	319	2810
102	322	2810
103	325	2808
104	329	2808
105	332	2806
106	336	2808
107	339	2806
108	343	2804
109	346	2803
110	349	2802
111	353	2799
112	356	2801
113	360	2799
114	363	2799
115	367	2798
116	370	2798
117	375	2803
118	378	2801
119	382	2803
120	385	2802
121	389	2801
122	392	2797
123	395	2794
124	398	2791
125	402	2789
126	405	2788
127	408	2785
128	412	2782
129	415	2782
130	419	2780
131	422	2777
132	425	2775
133	428	2771
134	431	2767
135	435	2764
136	438	2765
137	442	2763
138	445	2759
139	449	2758
140	452	2755
141	456	2755
142	459	2753
143	462	2749
144	469	2766
145	473	2770
146	478	2775
147	483	2781
148	488	2792
149	493	2796
150	498	2803
151	503	2806
152	507	2807
153	512	2815
154	517	2819
155	520	2817
156	523	2812
157	526	2808
158	530	2804
159	535	2811
160	540	2816
161	544	2817
162	547	2811
163	550	2805
164	553	2800
165	556	2795
166	559	2790
167	562	2784
168	565	2778
169	568	2774
170	571	2770
171	574	2765
172	577	2760
173	580	2754
174	583	2748
175	585	2742
176	589	2740
177	592	2734
